transaction_id,date,time,amount,payment_method,customer_id,customer_type,category,merchant_channel
TXN001,2026-08-01,08:15,185,UPI,C001,repeat,groceries,qr_store
TXN002,2026-08-01,09:40,420,Wallet,C002,new,personal_care,qr_store
TXN003,2026-08-01,13:05,95,UPI,C003,repeat,snacks,qr_store
TXN004,2026-08-01,19:22,760,UPI,C004,repeat,household,qr_store
TXN005,2026-08-02,08:12,210,UPI,C001,repeat,groceries,qr_store
TXN006,2026-08-02,10:20,155,Card,C005,new,dairy,qr_store
TXN007,2026-08-02,18:18,980,UPI,C006,new,household,qr_store
TXN008,2026-08-03,07:55,145,UPI,C007,repeat,dairy,qr_store
TXN009,2026-08-03,12:35,360,Wallet,C002,repeat,personal_care,qr_store
TXN010,2026-08-03,20:14,1220,UPI,C008,new,groceries,qr_store
TXN011,2026-08-04,08:21,130,UPI,C001,repeat,dairy,qr_store
TXN012,2026-08-04,11:07,280,UPI,C009,new,snacks,qr_store
TXN013,2026-08-04,17:50,640,Card,C004,repeat,household,qr_store
TXN014,2026-08-05,09:10,225,UPI,C010,new,groceries,qr_store
TXN015,2026-08-05,14:30,115,Wallet,C011,new,snacks,qr_store
TXN016,2026-08-05,20:04,890,UPI,C008,repeat,groceries,qr_store
TXN017,2026-08-06,08:05,175,UPI,C007,repeat,dairy,qr_store
TXN018,2026-08-06,12:18,510,UPI,C012,new,personal_care,qr_store
TXN019,2026-08-06,18:41,1320,Card,C013,new,household,qr_store
TXN020,2026-08-07,08:33,205,UPI,C001,repeat,groceries,qr_store
TXN021,2026-08-07,13:12,160,Wallet,C003,repeat,snacks,qr_store
TXN022,2026-08-07,21:05,1460,UPI,C014,new,groceries,qr_store
TXN023,2026-08-08,09:03,190,UPI,C007,repeat,dairy,qr_store
TXN024,2026-08-08,16:12,560,UPI,C015,new,personal_care,qr_store
TXN025,2026-08-08,20:45,1720,Card,C008,repeat,groceries,qr_store
TXN026,2026-08-09,08:48,240,UPI,C001,repeat,groceries,qr_store
TXN027,2026-08-09,12:05,130,Wallet,C011,repeat,snacks,qr_store
TXN028,2026-08-09,19:15,1160,UPI,C016,new,household,qr_store
TXN029,2026-08-10,08:17,195,UPI,C007,repeat,dairy,qr_store
TXN030,2026-08-10,13:32,430,UPI,C017,new,personal_care,qr_store
TXN031,2026-08-10,20:28,1380,Card,C008,repeat,groceries,qr_store
TXN032,2026-08-11,08:07,225,UPI,C001,repeat,groceries,qr_store
TXN033,2026-08-11,12:50,160,Wallet,C003,repeat,snacks,qr_store
TXN034,2026-08-11,19:52,1510,UPI,C018,new,household,qr_store
TXN035,2026-08-12,08:16,210,UPI,C007,repeat,dairy,qr_store
TXN036,2026-08-12,15:10,480,UPI,C019,new,personal_care,qr_store
TXN037,2026-08-12,20:02,1690,Card,C008,repeat,groceries,qr_store
TXN038,2026-08-13,08:25,235,UPI,C001,repeat,groceries,qr_store
TXN039,2026-08-13,11:44,175,Wallet,C011,repeat,snacks,qr_store
TXN040,2026-08-13,18:30,1010,UPI,C020,new,household,qr_store
TXN041,2026-08-14,08:11,220,UPI,C007,repeat,dairy,qr_store
TXN042,2026-08-14,13:40,590,UPI,C021,new,personal_care,qr_store
TXN043,2026-08-14,20:18,1880,Card,C008,repeat,groceries,qr_store
